"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CONFIGURATION__POLE-THROW_";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_SWITCHING_CURRENT";"MAX_SWITCHING_VOLTAGE_AC_";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PRODUCT_TYPE";"PROD_ID";"SOURCELIBRARY";"SWITCH_TYPE";"TE_PART_NUMBER";"VALUE";"VENDOR";
"1";"";"PINHD-2X4";"2X04";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"47";"";"";"";"";"";"";"";
"1";"";"TC2030-MCP-NL";"TC2030-MCP-NL";"J1";"TAG-CONNECT ICSP ConnectorManufacturer: Tag-Connect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100nF";"C-EUC0402";"C0402";"C1, C2, C4, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF";"C-EUC0603";"C0603";"C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1825027-8";"1825027-8";"SW2_1825027-C_TEC";"SW1";"";"";"";"EMA_UL_Team";"Single Pole - Single Throw";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"FSMRA3JH04=R/A,TACT PB SW,160G";"";"";"1825027-8";"-";"-";"";"";"";"";"";"";"";"Switch";"";"TE_Connectivity-2018-03-16";"Tactile Switches";"1825027-8";"";"TE Connectivity";
"1";"24LC32ASN";"24LC32ASN";"SO-08";"IC2";"Serial EEPROM";"";"";"";"";"";"";"";"";"";"";"";"MICROCHIP";"";"";"24LC32A/SN";"9758003";"33C2976";"";"";"";"";"";"";"";"";
"4";"4.7k";"R-EU_R0402";"R0402";"R1, R2, R5, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"470R";"R-EU_R0402";"R0402";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"679105700";"679105700";"679105700";"X1";"MINI PCI EXPRESS CONNECTOR 0.8MM PITCH, 52 CIRCUIT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67910-5700";"unknown";"93M2128";"";"";"";"";"";"";"";"";
"1";"ATECC108";"ATECC108";"SO08";"ECC1";"ATECC108 ECDSA with NIST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-11982";"";"";"";"ATECC108";"";
"1";"LM1117-SOT223";"LM1117-SOT223";"SOT-223-3";"IC1";"LDO Voltage Regulator";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LTL-42D1NMHDP1";"LTL-42D1NMHDP1";"LTL42D1NMHDP1";"LED1";"LED Circuit Board Indicators Housing LED ThruHole 3mm 2Lvl Grn/Yellow";"LTL-42D1NMHDP1";"https://www.arrow.com/en/products/ltl-42d1nmhdp1/lite-on-technology";"";"";"";"LED Circuit Board Indicators Housing LED ThruHole 3mm 2Lvl Grn/Yellow";"9.6mm";"Lite-On";"LTL-42D1NMHDP1";"";"";"";"859-LTL-42D1NMHDP1";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTL-42D1NMHDP1?qs=WxFF5lh7QM1L2xMrizlF%2FQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";
"1";"RASPBERRY-PI+";"RASPBERRY-PI+";"RASPBERRY-PI-PLUS-CAM_NOTCH";"U$2";"Samtec SSW-120-01-T-D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
